canonical_drug	canonical_class	aro_accession	category	source
cezomycin	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
maduramicin	ionophore with antibiotic activity		veterinary_ionophore	resfinder
monensin	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
narasin	ionophore with antibiotic activity		veterinary_ionophore	resfinder
nigericin	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin a	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin antibiotic	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin b	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin c	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin d	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin e	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin f	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin f2a	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin f2b	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin f3	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin g	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin h	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin i	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
pyrrolomycin j	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
salinomycin	ionophore with antibiotic activity		veterinary_ionophore	resfinder
tetronomycin	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
valinomycin	ionophore with antibiotic activity		veterinary_ionophore	aro_obo
isoniazid	isonicotinic acid hydrazide	ARO:3007152	antibiotic	resfinder
celesticetin	lincosamide antibiotic	ARO:0000017	antibiotic	aro_obo
clindamycin	lincosamide antibiotic	ARO:0000017	antibiotic	resfinder
iboxamycin	lincosamide antibiotic	ARO:0000017	antibiotic	aro_obo
lincomycin	lincosamide antibiotic	ARO:0000017	antibiotic	resfinder
lincosamide	lincosamide antibiotic	ARO:0000017	antibiotic	ncbi
pirlimycin	lincosamide antibiotic	ARO:0000017	antibiotic	aro_obo
arylomycin	lipopeptide antibiotic		antibiotic	aro_obo
battacin	lipopeptide antibiotic		antibiotic	aro_obo
cadaside a	lipopeptide antibiotic		antibiotic	aro_obo
cadaside antibiotic	lipopeptide antibiotic		antibiotic	aro_obo
cadaside b	lipopeptide antibiotic		antibiotic	aro_obo
